Date,Open,High,Low,Close,Adj Close,Volume
4/6/2017,5870.52002,5889.580078,5856.220215,5878.950195,5878.950195,1845800000
4/7/2017,5873.939941,5892.069824,5855.509766,5877.810059,5877.810059,1692150000
4/10/2017,5883.430176,5907.850098,5865.560059,5880.930176,5880.930176,1630070000
4/11/2017,5871.160156,5878.939941,5819.290039,5866.77002,5866.77002,1821650000
4/12/2017,5863.589844,5868.089844,5830.439941,5836.160156,5836.160156,1658960000
4/13/2017,5828.370117,5856.540039,5805.149902,5805.149902,5805.149902,1581870000
4/17/2017,5821.549805,5856.790039,5818.200195,5856.790039,5856.790039,1381290000
4/18/2017,5838.589844,5860.040039,5828.569824,5849.470215,5849.470215,1608870000
4/19/2017,5874.430176,5894.680176,5856.339844,5863.029785,5863.029785,1752620000
4/20/2017,5887.870117,5926.22998,5880.200195,5916.779785,5916.779785,1749110000
4/21/2017,5919.02002,5919.22998,5899.430176,5910.52002,5910.52002,1723210000
4/24/2017,5979.959961,5989.919922,5970.25,5983.819824,5983.819824,1836570000
4/25/2017,6004.160156,6036.02002,6002.649902,6025.490234,6025.490234,1895430000
4/26/2017,6028.120117,6040.890137,6021.720215,6025.22998,6025.22998,1894210000
4/27/2017,6038.470215,6050.700195,6031.589844,6048.939941,6048.939941,1876700000
4/28/2017,6072.870117,6074.040039,6040.709961,6047.609863,6047.609863,1995160000
5/1/2017,6067.560059,6100.72998,6061.350098,6091.600098,6091.600098,1757000000
5/2/2017,6102.509766,6102.720215,6081.560059,6095.370117,6095.370117,2146730000
5/3/2017,6075.040039,6076.959961,6053.279785,6072.549805,6072.549805,2149360000
5/4/2017,6075.060059,6080.819824,6054.330078,6075.339844,6075.339844,2056270000
5/5/2017,6091.688477,6092.604004,6067.155273,6078.754395,6078.754395,1521734789
