Date,Open,High,Low,Close,Adj Close,Volume
4/6/2017,2353.790039,2364.159912,2348.899902,2357.48999,2357.48999,3201920000
4/7/2017,2356.590088,2363.76001,2350.73999,2355.540039,2355.540039,3053150000
4/10/2017,2357.159912,2366.370117,2351.5,2357.159912,2357.159912,2785410000
4/11/2017,2353.919922,2355.219971,2337.25,2353.780029,2353.780029,3117420000
4/12/2017,2352.149902,2352.719971,2341.179932,2344.929932,2344.929932,3196950000
4/13/2017,2341.97998,2348.26001,2328.949951,2328.949951,2328.949951,3143890000
4/17/2017,2332.620117,2349.139893,2332.51001,2349.01001,2349.01001,2824710000
4/18/2017,2342.530029,2348.350098,2334.540039,2342.189941,2342.189941,3269840000
4/19/2017,2346.790039,2352.629883,2335.050049,2338.169922,2338.169922,3519900000
4/20/2017,2342.689941,2361.370117,2340.909912,2355.840088,2355.840088,3647420000
4/21/2017,2354.73999,2356.179932,2344.51001,2348.689941,2348.689941,3503360000
4/24/2017,2370.330078,2376.97998,2369.189941,2374.149902,2374.149902,3690650000
4/25/2017,2381.51001,2392.47998,2381.149902,2388.610107,2388.610107,3995240000
4/26/2017,2388.97998,2398.159912,2386.780029,2387.449951,2387.449951,4105920000
4/27/2017,2389.699951,2392.100098,2382.679932,2388.77002,2388.77002,4098460000
4/28/2017,2393.679932,2393.679932,2382.360107,2384.199951,2384.199951,3718270000
5/1/2017,2388.5,2394.48999,2384.830078,2388.330078,2388.330078,3199240000
5/2/2017,2391.050049,2392.929932,2385.820068,2391.169922,2391.169922,3813680000
5/3/2017,2386.5,2389.820068,2379.75,2388.129883,2388.129883,3893990000
5/4/2017,2389.790039,2391.429932,2380.350098,2389.52002,2389.52002,4362540000
5/5/2017,2392.370117,2394.669922,2389.379883,2391.399902,2391.399902,853164528
